asv	origin	relative_abundance
ASV 187 Pedomicrobium	Modern marine	8.787891837325357e-5
ASV 188 vadinBA26	Modern marine	8.512487819631399e-5
ASV 189 Candidatus Falkowbacteria	Modern marine	8.312193988581248e-5
ASV 190 Candidatus Peregrinibacteria	Modern marine	6.985247357874e-5
ASV 191 Candidatus Azambacteria	Modern marine	1.0039728281388797e-4
ASV 192 Sh765B-AG-111	Modern marine	9.188479499425657e-5
ASV 193 SEEP-SRB1	Modern marine	2.8541870924646457e-5
ASV 194 Candidatus Falkowbacteria	Modern marine	8.562561277393937e-5
ASV 195 Anaerolineae	Modern marine	6.759916797942582e-6
ASV 196 Hydrogenophaga	Modern marine	7.310724833330496e-5
ASV 197 Woesearchaeia	Modern marine	6.334292406961011e-5
ASV 198 Rhodobacteraceae	Old saline	2.4107398460139923e-4
ASV 199 Acidovorax	Old saline	4.3048925821678434e-6
ASV 200 Lentimicrobiaceae	Modern marine	6.209108762554668e-5
ASV 201 Kazania	Modern marine	7.961679784243485e-5
ASV 202 Flavobacterium	Old saline	5.739856776223791e-6
ASV 203 Candidatus Falkowbacteria	Modern marine	8.662708192919013e-5
ASV 204 Marinobacter	Modern marine	8.512487819631399e-5
ASV 205 Desulfocurvus	Modern marine	8.637671464037743e-5
ASV 206 Desulfomicrobium	Modern marine	6.434439322486087e-5
ASV 207 Candidatus Falkowbacteria	Modern marine	8.011753242006023e-5
ASV 208 Pelolinea	Modern marine	2.8792238213459146e-5
ASV 209 IheB3-7	Modern marine	5.9086680159794415e-5
ASV 210 Syntrophobacteraceae	Modern marine	8.537524548512668e-5
ASV 211 Candidatus Falkowbacteria	Modern marine	5.7083741849292915e-5
ASV 212 Desulfobulbaceae	Modern marine	7.611165579905722e-5
ASV 213 Candidatus Falkowbacteria	Modern marine	7.761385953193334e-5
ASV 214 Zixibacteria	Modern marine	5.007345776253764e-5
ASV 215 Bacteria	Modern marine	7.911606326480948e-5
ASV 216 Desulfovibrio	Modern marine	8.237083801937442e-5
ASV 217 Sh765B-TzT-35	Meteoric	6.483876016366197e-4
ASV 218 Desulfoconvexum	Modern marine	7.736349224312067e-5
ASV 219 Candidatus Falkowbacteria	Modern marine	7.936643055362216e-5
ASV 220 Thiobacillus	Old saline	2.3174671734003556e-4
ASV 221 Candidatus Falkowbacteria	Modern marine	6.284218949198474e-5
ASV 222 Desulfobulbaceae	Modern marine	7.811459410955873e-5
ASV 223 Desulfovibrio	Old saline	2.2026700378758798e-4
ASV 224 Pseudomonas	Modern marine	7.060357544517808e-5
ASV 225 Omnitrophicaeota	Modern marine	7.135467731161614e-5
ASV 226 Ferritrophicum	Modern marine	7.761385953193334e-5
ASV 227 NKB15	Modern marine	4.9823090473724955e-5
ASV 228 JS1	Modern marine	6.434439322486087e-5
ASV 229 Candidatus Levybacteria	Modern marine	7.01028408675527e-5
ASV 230 Anaerolineae	Modern marine	9.513956974882152e-6
ASV 231 Desulfobulbaceae	Modern marine	6.985247357874e-5
ASV 232 Candidatus Falkowbacteria	Modern marine	6.484512780248625e-5
ASV 233 Desulfobulbaceae	Modern marine	7.686275766549528e-5
ASV 234 Gallionellaceae	Modern marine	7.035320815636539e-5
ASV 235 Candidatus Falkowbacteria	Modern marine	7.21057791780542e-5
ASV 236 Syntrophus	Modern marine	7.085394273399076e-5
ASV 237 DscP2	Modern marine	7.135467731161614e-5
ASV 238 Thiobacillus	Old saline	2.970375881695812e-4
ASV 239 GIF3	Modern marine	7.661239037668259e-5
ASV 240 Syntrophus	Modern marine	7.686275766549528e-5
ASV 241 Desulfomicrobium	Modern marine	6.985247357874002e-5
ASV 242 Parcubacteria	Modern marine	3.2547747545649467e-6
ASV 243 Candidatus Yonathbacteria	Modern marine	7.285688104449227e-5
ASV 244 Desulfatiglans	Old saline	4.3048925821678434e-6
ASV 245 Roseovarius	Old saline	2.1237470072028029e-4
ASV 246 Betaproteobacteriales	Old saline	2.1093973652622434e-4
ASV 247 LCP-89	Modern marine	5.207639607303915e-5
ASV 248 Anaerovorax	Modern marine	2.904260550227183e-5
ASV 249 Desulfatiglans	Modern marine	2.378489243720538e-5
ASV 250 Acidovorax	Modern marine	8.26212053081871e-6
ASV 251 Candidatus Kaiserbacteria	Modern marine	7.185541188924151e-5
ASV 252 Omnitrophicaeota	Modern marine	6.985247357874e-5
ASV 253 Woesearchaeia	Modern marine	6.960210628992733e-5
ASV 254 Candidatus Paceibacter	Modern marine	7.460945206618108e-5
ASV 255 Thalassospira	Modern marine	5.3328232517102586e-5
ASV 256 Latescibacteria	Modern marine	7.611165579905722e-5
ASV 257 WWE3	Modern marine	5.658300727166754e-5
ASV 258 Desulfocurvus	Modern marine	6.960210628992731e-5
ASV 259 Syntrophus	Modern marine	7.035320815636539e-5
ASV 260 Candidatus Campbellbacteria	Modern marine	6.534586238011162e-5
ASV 261 Sediminibacterium	Modern marine	5.007345776253764e-7
ASV 262 Candidatus Falkowbacteria	Modern marine	7.63620230878699e-5
ASV 263 Hydrothermarchaeota	Modern marine	6.835026984586387e-5
ASV 264 Dehalococcoidia	Modern marine	6.734880069061313e-5
ASV 265 Desulfobacteraceae	Modern marine	4.8571254029661516e-5
ASV 266 Candidatus Falkowbacteria	Modern marine	7.360798291093033e-5
ASV 267 LCP-89	Modern marine	3.60528895890271e-5
ASV 268 Sulfurimonas	Modern marine	6.309255678079742e-5
ASV 269 Candidatus Falkowbacteria	Modern marine	6.659769882417507e-5
ASV 270 VHS-B4-70	Modern marine	6.759916797942582e-5
ASV 271 Omnitrophicaeota	Modern marine	5.458006896116603e-5
ASV 272 Spirochaetes	Modern marine	6.434439322486087e-5
ASV 273 Anaerolineaceae	Modern marine	6.509549509129893e-5
ASV 274 Desulfobulbaceae	Modern marine	6.434439322486087e-5
ASV 275 Candidatus Falkowbacteria	Modern marine	6.309255678079742e-5
ASV 276 Candidatus Falkowbacteria	Modern marine	5.232676336185184e-5
ASV 277 Candidatus Falkowbacteria	Modern marine	6.509549509129893e-5
ASV 278 Candidatus Falkowbacteria	Modern marine	6.284218949198474e-5
ASV 279 Desulfobulbaceae	Modern marine	6.609696424654968e-5
ASV 280 Omnitrophicaeota	Modern marine	5.282749793947721e-5
ASV 281 Paraherbaspirillum	Modern marine	6.35932913584228e-5
ASV 282 Candidatus Uhrbacteria	Modern marine	6.108961847029592e-5
ASV 283 Filomicrobium	Modern marine	6.38436586472355e-5
ASV 284 Candidatus Falkowbacteria	Modern marine	6.184072033673399e-5
ASV 285 Enhydrobacter	Old saline	1.0762231455419609e-5
ASV 286 Nocardioides	Modern marine	1.7525710216888175e-6
ASV 287 EUB33-2	Modern marine	6.38436586472355e-5
ASV 288 Pir4 lineage	Modern marine	5.6332639982854846e-5
ASV 289 Candidatus Falkowbacteria	Modern marine	6.108961847029593e-5
ASV 290 Candidatus Falkowbacteria	Modern marine	6.133998575910861e-5
ASV 291 Thermodesulfovibrionia	Modern marine	6.184072033673399e-5
