environment	sample	unfiltered	filtered	lost	retained [%]	lost [%]
Modern marine	QK1636-S51	56353	56339	14	99.97515660213298	0.024843397867016392
Modern marine	QK1636-S55	45489	45487	2	99.99560333267384	0.004396667326162174
Modern marine	QK1636-S56	40075	40069	6	99.98502807236432	0.014971927635684779
Modern marine	QK1636-S57	52734	52730	4	99.99241476087533	0.007585239124665577
Modern marine	QK1636-S58	93491	93487	4	99.99572151330075	0.004278486699249129
Modern marine	QK1636-S59	39816	39816	0	100	0
Modern marine	QK1636-S60	88848	88848	0	100	0
Modern marine	QK1636-S61	96429	96429	0	100	0
Modern marine	QK1636-S62	138862	138862	0	100	0
Modern marine	QK1636-S63	227080	227080	0	100	0
Modern marine	QK1636-S64	70283	70283	0	100	0
Modern marine	QK1636-S65	101620	101613	7	99.99311159220626	0.006888407793738338
Modern marine	QK1636-S66	115076	115076	0	100	0
Modern marine	QK1636-S67	28313	28313	0	100	0
Modern marine	QK1636-S68	63784	63784	0	100	0
Modern marine	QK1636-S69	44715	44715	0	100	0
Modern marine	QK1636-S70	112515	112515	0	100	0
Modern marine	QK1636-S71	182173	182173	0	100	0
Modern marine	QK1636-S72	121505	121505	0	100	0
Modern marine	QK1636-S73	164190	164190	0	100	0
Modern marine	QK1636-S74	197145	197145	0	100	0
Modern marine	QK1636-S75	41835	41835	0	100	0
Modern marine	QK1636-S76	24413	24413	0	100	0
Modern marine	QK1636-S77	24449	24449	0	100	0
Modern marine	QK1636-S78	42210	42210	0	100	0
Modern marine	QK1636-S79	65685	65685	0	100	0
Modern marine	QK1636-S80	58361	58361	0	100	0
Modern marine	QK1636-S81	59768	59761	7	99.98828804711552	0.011711952884482457
Modern marine	QK1636-S88	59226	59220	6	99.98986931415257	0.010130685847428822
Modern marine	QK1636-S89	24091	24080	11	99.95433979494418	0.045660205055824576
Modern marine	QK1636-S90	27960	27946	14	99.94992846924178	0.05007153075821691
Old saline	QK1636-S04	121353	121353	0	100	0
Old saline	QK1636-S16	95603	95590	13	99.9864021003525	0.01359789964749325
Old saline	QK1636-S28	196007	196007	0	100	0
Old saline	QK1636-S40	97595	97569	26	99.97335929094729	0.026640709052713873
Old saline	QK1636-S41	125198	125191	7	99.9944088563715	0.0055911436284930005
Old saline	QK1636-S42	152326	152322	4	99.99737405301788	0.0026259469821212633
Old saline	QK1636-S52	106648	106645	3	99.99718700772635	0.0028129922736468416
Old saline	QK1636-S53	91749	91749	0	100	0
Old saline	QK1636-S54	134978	134972	6	99.99555483115768	0.00444516884232371
Old saline	QK1636-S82	298899	298884	15	99.99498158240743	0.005018417592566493
Old saline	QK1636-S83	53328	53328	0	100	0
Old saline	QK1636-S84	20046	20043	3	99.98503442083208	0.01496557916792085
Old saline	QK1636-S85	23083	23083	0	100	0
Old saline	QK1636-S86	45145	45145	0	100	0
Old saline	QK1636-S87	54147	54144	3	99.9944595268436	0.005540473156401049
